date_jst,BTC,GOLD,US10Y,SP500
2021-12-22 09:00:00+09:00,,0.618568,,
2021-12-23 09:00:00+09:00,0.160675,0.714752,,
2021-12-24 09:00:00+09:00,0.177525,0.708982,,
2021-12-25 09:00:00+09:00,0.125666,0.703235,,
2021-12-26 09:00:00+09:00,0.221468,0.693316,0.090472,0.251916
2021-12-27 09:00:00+09:00,0.305191,0.845205,0.272731,1.653574
2021-12-28 09:00:00+09:00,0.080443,1.071693,0.211537,1.536754
2021-12-29 09:00:00+09:00,-0.130989,0.515044,-0.082858,2.074819
2021-12-30 09:00:00+09:00,-0.333772,0.588744,-0.123669,1.471597
2021-12-31 09:00:00+09:00,-0.354241,0.783411,-0.181496,1.362014
2022-01-01 09:00:00+09:00,-0.300101,0.776841,-0.187779,1.359724
2022-01-02 09:00:00+09:00,-0.361454,0.640969,-0.139110,1.881485
2022-01-03 09:00:00+09:00,-0.518529,0.345567,-0.435158,1.705171
2022-01-04 09:00:00+09:00,-0.704097,0.527171,-0.481625,1.523298
2022-01-05 09:00:00+09:00,-0.748782,0.703201,-0.500736,0.413696
2022-01-06 09:00:00+09:00,-0.768772,0.227301,-0.523308,0.468562
2022-01-07 09:00:00+09:00,-0.878368,0.336366,-0.687041,0.317983
2022-01-08 09:00:00+09:00,-0.856197,0.330965,-0.696090,0.331802
2022-01-09 09:00:00+09:00,-0.937525,0.349322,-0.588546,0.628240
2022-01-10 09:00:00+09:00,-0.884318,0.312095,-0.827917,0.675400
2022-01-11 09:00:00+09:00,-0.881964,0.089416,-0.811357,0.936056
2022-01-12 09:00:00+09:00,-0.815271,0.163426,-0.921778,0.342446
2022-01-13 09:00:00+09:00,-1.010800,0.493751,-0.530887,-0.556584
2022-01-14 09:00:00+09:00,-0.958986,0.426734,-0.872878,-0.517096
2022-01-15 09:00:00+09:00,-0.968516,0.424952,-0.877369,-0.511332
2022-01-16 09:00:00+09:00,-0.978410,0.456198,-0.813881,-0.644779
2022-01-17 09:00:00+09:00,-1.072293,0.383839,-0.643628,-0.940814
2022-01-18 09:00:00+09:00,-1.105119,0.121435,-1.004176,-1.820645
2022-01-19 09:00:00+09:00,-1.021254,0.581874,-0.764333,-2.295415
2022-01-20 09:00:00+09:00,-1.017144,0.369369,-0.792134,-2.638030
2022-01-21 09:00:00+09:00,-1.213966,0.222325,-0.507914,-3.271065
2022-01-22 09:00:00+09:00,-1.256692,0.221210,-0.514876,-3.190758
2022-01-23 09:00:00+09:00,-1.247300,0.075471,-0.584540,-3.273584
2022-01-24 09:00:00+09:00,-1.157115,0.396295,-0.697078,-3.162199
2022-01-25 09:00:00+09:00,-1.087776,0.476593,-1.053416,-3.318349
2022-01-26 09:00:00+09:00,-1.148919,0.118809,-1.285804,-3.580642
2022-01-27 09:00:00+09:00,-1.175250,-0.120731,-1.094748,-3.694162
2022-01-28 09:00:00+09:00,-1.137723,-0.232142,-0.977676,-2.882117
2022-01-29 09:00:00+09:00,-1.106777,-0.227240,-0.978731,-2.824040
2022-01-30 09:00:00+09:00,-1.107399,-0.390544,-0.975118,-2.821606
2022-01-31 09:00:00+09:00,-1.137577,-0.158225,-1.099293,-2.331582
2022-02-01 09:00:00+09:00,-1.116826,0.275802,-1.006054,-2.285330
2022-02-02 09:00:00+09:00,-1.148726,-0.011552,-1.169923,-2.104537
2022-02-03 09:00:00+09:00,-1.127121,-0.416056,-1.650602,-2.891832
2022-02-04 09:00:00+09:00,-0.950436,-0.359078,-2.014831,-2.700572
2022-02-05 09:00:00+09:00,-1.000965,-0.352132,-1.995149,-2.659537
2022-02-06 09:00:00+09:00,-1.068926,-0.500845,-1.767926,-2.637401
2022-02-07 09:00:00+09:00,-0.996336,-0.333368,-1.960243,-2.599232
2022-02-08 09:00:00+09:00,-0.932252,-0.489358,-1.686509,-2.111130
2022-02-09 09:00:00+09:00,-0.920514,-0.583714,-1.452773,-1.708683
2022-02-10 09:00:00+09:00,-0.927766,-0.632036,-1.975078,-2.392028
2022-02-11 09:00:00+09:00,-0.981339,-0.559436,-1.470205,-2.864221
2022-02-12 09:00:00+09:00,-1.012955,-0.555098,-1.457654,-2.815561
2022-02-13 09:00:00+09:00,-0.963972,-0.524495,-1.260037,-2.771221
2022-02-14 09:00:00+09:00,-0.851351,0.114931,-1.534809,-2.915011
2022-02-15 09:00:00+09:00,-0.774378,-0.348212,-1.823913,-2.406326
2022-02-16 09:00:00+09:00,-0.688634,0.056236,-1.736882,-2.431873
2022-02-17 09:00:00+09:00,-0.884482,0.751894,-1.599095,-2.878640
2022-02-18 09:00:00+09:00,-0.956119,0.735270,-1.435905,-2.990298
2022-02-19 09:00:00+09:00,-0.924888,0.755116,-1.423064,-2.928677
2022-02-20 09:00:00+09:00,-0.925644,1.606733,-1.074792,-2.796952
2022-02-21 09:00:00+09:00,-1.025720,2.049783,-0.876197,-2.781425
2022-02-22 09:00:00+09:00,-0.930757,2.180387,-1.015494,-3.000806
2022-02-23 09:00:00+09:00,-1.006592,2.240239,-1.246836,-3.326797
2022-02-24 09:00:00+09:00,-0.839392,2.472780,-1.708475,-2.456770
2022-02-25 09:00:00+09:00,-0.841767,1.753649,-1.703878,-1.937729
2022-02-26 09:00:00+09:00,-0.927703,1.738357,-1.687357,-1.914958
2022-02-27 09:00:00+09:00,-1.008219,1.779777,-1.570764,-2.175753
2022-02-28 09:00:00+09:00,-0.735226,2.157387,-1.319183,-1.788646
2022-03-01 09:00:00+09:00,-0.692427,2.724116,-0.958123,-1.851608
2022-03-02 09:00:00+09:00,-0.687410,2.704376,-1.529516,-1.737779
2022-03-03 09:00:00+09:00,-0.652396,2.498724,-1.583722,-1.650374
2022-03-04 09:00:00+09:00,-0.647237,2.964780,-1.133946,-1.805408
2022-03-05 09:00:00+09:00,-0.644066,2.907829,-1.124930,-1.786394
2022-03-06 09:00:00+09:00,-0.749019,2.936349,-0.893830,-2.012767
2022-03-07 09:00:00+09:00,-0.775518,3.251666,-0.906722,-2.994597
2022-03-08 09:00:00+09:00,-0.735100,3.849656,-1.046335,-3.126934
2022-03-09 09:00:00+09:00,-0.436695,3.090439,-1.422462,-2.446968
